*******************************************************************************
 Revised: Aug 16, 2011          Juno Spacecraft  / (Sun, Jupiter)           -61 
                  http://www.nasa.gov/mission_pages/juno/main/index.html
 
 NOTE: Post-launch trajectory, begins at Centaur separation, assumes a 
       0.8 m/s TCM-2 maneuver 2012-Feb-01.

 BACKGROUND:
 The Juno spacecraft (New Frontiers mission-class) will investigate Jupiter's 
 origins, interior structure, deep atmosphere and magnetosphere, from a highly 
 elliptical polar orbit with a close perijove (PJ=1.06 Jupiter-radii, AJ= 39 
 Jupiter-radii), using a suite of seven science instruments.

 The Juno spacecraft launched aboard an Atlas V-551 rocket from Cape Canaveral, 
 Fla., on Aug. 2011 at 16:25 UTC. It will reach Jupiter in July 2016.  The 
 spacecraft will orbit Jupiter 32 times, skimming to within 3,100 miles (5,000 
 kilometers) of the planet's cloud tops, over approximately one year. 

 MAJOR EVENTS (times are approximate planning values):
  Launch        : Aug 5,  2011 16:25 UTC 
  Separation    : Aug 5,  2011 17:18:11.12 UTC
  DSM-1         : Aug 30, 2012 22:29 UTC (344.95 m/s)
  DSM-2         : Sep 3,  2012 22:29 UTC (387.77 m/s)
  Earth Flyby   : Oct 9,  2013 14:01 UTC 
                   (alt=500.149 km, lat=-34.372 deg,long=-17.146 deg
  Arrive Jupiter: Jul 5,  2016 02:29 UTC (JOI to 78-day capture orbit, 431 m/s)
  End of mission: Oct 16, 2017 19:33 UTC (Jupiter impact) 

 SPACECRAFT PHYSICAL  CHARACTERISTICS:
  * Solar-powered, spin-stablized spacecraft 
  * 1 rpm in interplanetary cruise, 2 rpm in Jupiter orbit
  * Three 2x9 m solar panels equally spaced around hexagonal bus (20 m span)
  * High-gain antenna

 INSTRUMENTS: Juno's scientific payload includes:
  * A gravity/radio science system
  * A six-wavelength microwave radiometer for atmospheric sounding 
     and composition
  * A vector magnetometer
  * Plasma and energetic particle detectors
  * A radio/plasma wave experiment
  * An ultraviolet imager/spectrometer
  * An infrared imager/spectrometer

 PROPULSION:
  * Bipropellant engine: Leros 1B, thrust= 635 N,  Isp= 316.2 s min.
  * RCS thrusters
  * Orbit trim maneuvers (OTMs) occur on each orbit at perijove +4 hrs, 
     beginning at PJ3 (total ~38 m/s). Target desired longitude at descending 
     node after perijove.
  * Total delta-V budget: 2107 m/s (~1852 m/s on bi-prop; remainder on RCS)

 SPACECRAFT TRAJECTORY: POST-LAUNCH RECO/PREDICT from Navigation Team (JPL). 
   spk_ref_110805_171016_110815.bsp
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Dec 11 20:36:04 2011 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Juno Spacecraft (-61)           {source: MONTE Difference Line Ta}
Center body name: Sun (10)                        {source: DE405}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2011-Aug-06 00:00:00.0000 CT 
Stop  time      : A.D. 2016-Oct-18 00:00:00.0000 CT 
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D                                                         
Output format   : 01
Reference frame : ICRF/J2000.0                                                 
Output type     : GEOMETRIC cartesian states
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
JDCT ,   , X, Y, Z,
*******************************************************************************
$$SOE
2455779.500000000, A.D. 2011-Aug-06 00:00:00.0000,  6.932240348365198E-01, -7.402968691252297E-01, -1.653302662389305E-06,
2455780.500000000, A.D. 2011-Aug-07 00:00:00.0000,  7.071068445673991E-01, -7.256357973454397E-01, -2.605867163312283E-05,
2455781.500000000, A.D. 2011-Aug-08 00:00:00.0000,  7.207522928582527E-01, -7.108251620496048E-01, -4.962770558431528E-05,
2455782.500000000, A.D. 2011-Aug-09 00:00:00.0000,  7.341834558236396E-01, -6.958260749358968E-01, -7.303017683733832E-05,
2455783.500000000, A.D. 2011-Aug-10 00:00:00.0000,  7.474006776151151E-01, -6.806347916382222E-01, -9.634596764302318E-05,
2455784.500000000, A.D. 2011-Aug-11 00:00:00.0000,  7.604014580919563E-01, -6.652524825194323E-01, -1.195973245021762E-04,
2455785.500000000, A.D. 2011-Aug-12 00:00:00.0000,  7.731825329556851E-01, -6.496818985253918E-01, -1.427907881418427E-04,
2455786.500000000, A.D. 2011-Aug-13 00:00:00.0000,  7.857404029391470E-01, -6.339265131092094E-01, -1.659268332995677E-04,
2455787.500000000, A.D. 2011-Aug-14 00:00:00.0000,  7.980715240472382E-01, -6.179902134635393E-01, -1.890030983267551E-04,
2455788.500000000, A.D. 2011-Aug-15 00:00:00.0000,  8.101723919676083E-01, -6.018771642892328E-01, -2.120157257434182E-04,
2455789.500000000, A.D. 2011-Aug-16 00:00:00.0000,  8.220395856883230E-01, -5.855917379356973E-01, -2.349600140058922E-04,
2455790.500000000, A.D. 2011-Aug-17 00:00:00.0000,  8.336697928424113E-01, -5.691384741449828E-01, -2.578307535150736E-04,
2455791.500000000, A.D. 2011-Aug-18 00:00:00.0000,  8.450598259560204E-01, -5.525220540781633E-01, -2.806224233841655E-04,
2455792.500000000, A.D. 2011-Aug-19 00:00:00.0000,  8.562066336993893E-01, -5.357472818798257E-01, -3.033293131082353E-04,
2455793.500000000, A.D. 2011-Aug-20 00:00:00.0000,  8.671073091553481E-01, -5.188190704371146E-01, -3.259456022166646E-04,
2455794.500000000, A.D. 2011-Aug-21 00:00:00.0000,  8.777590961619930E-01, -5.017424295785474E-01, -3.484654152000956E-04,
2455795.500000000, A.D. 2011-Aug-22 00:00:00.0000,  8.881593943194418E-01, -4.845224557479760E-01, -3.708828611988564E-04,
2455796.500000000, A.D. 2011-Aug-23 00:00:00.0000,  8.983057629878688E-01, -4.671643225919394E-01, -3.931920639052349E-04,
2455797.500000000, A.D. 2011-Aug-24 00:00:00.0000,  9.081959244818322E-01, -4.496732721348423E-01, -4.153871849363729E-04,
2455798.500000000, A.D. 2011-Aug-25 00:00:00.0000,  9.178277665997608E-01, -4.320546063524575E-01, -4.374624426974299E-04,
2455799.500000000, A.D. 2011-Aug-26 00:00:00.0000,  9.271993445670647E-01, -4.143136790229561E-01, -4.594121280097961E-04,
2455800.500000000, A.D. 2011-Aug-27 00:00:00.0000,  9.363088824491494E-01, -3.964558877862215E-01, -4.812306173364556E-04,
2455801.500000000, A.D. 2011-Aug-28 00:00:00.0000,  9.451547740748902E-01, -3.784866663719939E-01, -5.029123841571354E-04,
2455802.500000000, A.D. 2011-Aug-29 00:00:00.0000,  9.537355835010567E-01, -3.604114769770053E-01, -5.244520088688271E-04,
2455803.500000000, A.D. 2011-Aug-30 00:00:00.0000,  9.620500450421144E-01, -3.422358027839345E-01, -5.458441874690512E-04,
